Paper ID,Section,Parameter,Value,,
M2TR (2022),I. Publication Details,Paper Title,M2TR: Multi-modal Multi-scale Transformers for Deepfake Detection,,
M2TR (2022),I. Publication Details,Authors,"Junke Wang, Zuxuan Wu, Wenhao Ouyang, Xintong Han, Jingjing Chen, Ser-Nam Lim, Yu-Gang Jiang",,
M2TR (2022),I. Publication Details,Publication Year,2022,,
M2TR (2022),I. Publication Details,Publication Venue,ACM International Conference on Multimedia Retrieval (ICMR '22),,
M2TR (2022),I. Publication Details,Type of Paper,Conference Paper,,
M2TR (2022),II. Research Overview,Core Idea / Contribution,Proposes a Multi-modal Multi-scale Transformer that detects local inconsistencies at different scales and leverages frequency domain features to improve robustness against compression.,,
M2TR (2022),II. Research Overview,Problem Addressed,"Deepfakes have subtle artifacts at different scales (patches) and are often compressed, making RGB-only detection difficult.",,
M2TR (2022),II. Research Overview,Key Findings,Multi-scale patches capture local inconsistencies better; Frequency domain features are robust to JPEG compression; Proposed SR-DF dataset improves evaluation diversity.,,
M2TR (2022),III. Technical Deep Dive,Proposed Method Name,M2TR (Multi-modal Multi-scale TRansformer),,
M2TR (2022),III. Technical Deep Dive,Architecture,Two-stream architecture: RGB Stream (Multi-scale Transformer) and Frequency Stream (Learnable Frequency Filter).,,
M2TR (2022),III. Technical Deep Dive,Video Encoder,EfficientNet-b4 (Backbone) feeding into Transformer blocks.,,
M2TR (2022),III. Technical Deep Dive,Audio Encoder,"N/A (Uses Frequency Domain of images, not Audio).",,
M2TR (2022),III. Technical Deep Dive,Fusion Mechanism,Cross Modality Fusion (CMF) block using query-key-value mechanism to fuse RGB and Frequency features.,,
M2TR (2022),III. Technical Deep Dive,Loss Function(s),"Cross-entropy loss, Segmentation loss (auxiliary), Contrastive loss.",,
M2TR (2022),IV. Experimental Evaluation,Training Datasets,"FaceForensics++ (FF++), SR-DF (Proposed)",,
M2TR (2022),IV. Experimental Evaluation,Testing Datasets,"FF++, Celeb-DF, SR-DF, ForgeryNet",,
M2TR (2022),IV. Experimental Evaluation,Evaluation Metrics,"Accuracy (Acc), Area Under Curve (AUC), Mask-SSIM",,
M2TR (2022),IV. Experimental Evaluation,Accuracy,92.89% (FF++ LQ),97.93% (FF++ HQ),
M2TR (2022),IV. Experimental Evaluation,AUC,99.92% (FF++ Raw),99.8% (Celeb-DF),
M2TR (2022),IV. Experimental Evaluation,F1-Score,Not explicitly reported in summary tables (focus on AUC/Acc),,
M2TR (2022),IV. Experimental Evaluation,Other Results,Outperforms state-of-the-art (F3-Net,MaDD) on Celeb-DF and SR-DF.,
M2TR (2022),V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Not explicitly stated (Standard EfficientNet-b4 is ~70MB+ plus Transformers).,,
M2TR (2022),V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),Not explicitly stated (EfficientNet-b4 is ~19M params; Transformer adds overhead).,,
M2TR (2022),V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not reported.,,
M2TR (2022),V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not reported.,,
M2TR (2022),V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,None mentioned (Focus is on robustness to compressed *inputs*,not model compression).,
M2TR (2022),V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,No.,,
M2TR (2022),VI. Critical Analysis,Strengths,Robust to compression due to frequency stream; Multi-scale approach captures subtle artifacts; New high-quality dataset (SR-DF).,,
M2TR (2022),VI. Critical Analysis,Drawbacks & Limitations,Complex architecture (Transformer + CNN); potentially high computational cost compared to pure CNNs.,,
M2TR (2022),VI. Critical Analysis,Future Work,Not explicitly detailed in snippets (Generalization is a focus).,,
M2TR (2022),VII. Relevance to PIN-Lite,Comparison Points,High accuracy benchmark; use of frequency domain could be adapted for lightweight models.,,
M2TR (2022),VII. Relevance to PIN-Lite,Key Differences from Our Approach,M2TR uses heavy Transformer blocks; PIN-Lite likely targets lightweight/edge efficiency.,,
M2TR (2022),VII. Relevance to PIN-Lite,Citation Context,Standard benchmark for detecting compression-resistant deepfakes.,,
DF-P2E (2025),I. Publication Details,Paper Title,"From Prediction to Explanation: Multimodal, Explainable, and Interactive Deepfake Detection Framework for Non-Expert Users",,
DF-P2E (2025),I. Publication Details,Authors,"Shahroz Tariq, Simon S. Woo, Priyanka Singh, Irena Irmalasari, Saakshi Gupta, Dev Gupta",,
DF-P2E (2025),I. Publication Details,Publication Year,2025,,
DF-P2E (2025),I. Publication Details,Publication Venue,ACM International Conference on Multimedia (MM '25),,
DF-P2E (2025),I. Publication Details,Type of Paper,Conference Paper,,
DF-P2E (2025),II. Research Overview,Core Idea / Contribution,A framework providing natural language explanations for deepfake detection using VLM/LLMs,bridging the gap for non-expert users.,
DF-P2E (2025),II. Research Overview,Problem Addressed,Existing detectors are black-boxes; heatmaps (Grad-CAM) are insufficient for non-experts to understand *why* an image is fake.,,
DF-P2E (2025),II. Research Overview,Key Findings,Multimodal explanations (Visual + Text) increase user trust; CLIP-large backbone outperforms XceptionNet; LLM refinement creates human-readable forensic reports.,,
DF-P2E (2025),III. Technical Deep Dive,Proposed Method Name,DF-P2E (Deepfake: Prediction to Explanation),,
DF-P2E (2025),III. Technical Deep Dive,Architecture,"Modular: 1. Detector (CLIP-large), 2. Captioning (BLIP-large), 3. Narrative Refinement (LLaMA-3.2-11B).",,
DF-P2E (2025),III. Technical Deep Dive,Video Encoder,CLIP-large (Vision Transformer based).,,
DF-P2E (2025),III. Technical Deep Dive,Audio Encoder,N/A (Focus on Visual Explanations).,,
DF-P2E (2025),III. Technical Deep Dive,Fusion Mechanism,Sequential pipeline: Image -> Heatmap -> Caption -> LLM Narrative.,,
DF-P2E (2025),III. Technical Deep Dive,Loss Function(s),Standard Classification losses for detector; Causal Language Modeling losses for Captioning/LLM.,,
DF-P2E (2025),IV. Experimental Evaluation,Training Datasets,"Fine-tuned on DF40 (FaceForensics++, Celeb-DF, UADFV, etc. combined).",,
DF-P2E (2025),IV. Experimental Evaluation,Testing Datasets,DF40 Benchmark (subsets: Face Swap,Reenactment,Synthesis).
DF-P2E (2025),IV. Experimental Evaluation,Evaluation Metrics,"AUC (Detection); BLEU, METEOR, CIDEr (Captioning); Human Evaluation (Likert scale).",,
DF-P2E (2025),IV. Experimental Evaluation,Accuracy,Not primarily reported (AUC focused).,,
DF-P2E (2025),IV. Experimental Evaluation,AUC,0.913 (Average on DF40 with CLIP-large).,,
DF-P2E (2025),IV. Experimental Evaluation,F1-Score,Not reported.,,
DF-P2E (2025),IV. Experimental Evaluation,Other Results,Captioning Latency: ~1845s for 100 images (BLIP-large). Human Eval: 4.5/5 for usefulness.,,
DF-P2E (2025),V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Large. CLIP-large + BLIP-large + LLaMA-3.2 (11B parameters). ~11GB VRAM for LLM alone.,,
DF-P2E (2025),V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),">11,000M (LLaMA-3.2 is 11B).",,
DF-P2E (2025),V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Very High.,,
DF-P2E (2025),V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),High latency. Total time for 100 images ~2800s (approx 28s per image) with heavy models.,,
DF-P2E (2025),V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,Quantization (4-bit) used for LLaMA-3.2 to fit memory.,,
DF-P2E (2025),V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,Implied limitation (Latency/Size discussed).,,
DF-P2E (2025),VI. Critical Analysis,Strengths,Excellent interpretability; User-centric; High generalization (CLIP backbone).,,
DF-P2E (2025),VI. Critical Analysis,Drawbacks & Limitations,High inference latency; computational expense; risk of LLM hallucinations.,,
DF-P2E (2025),VI. Critical Analysis,Future Work,Optimizing computational efficiency; expanding to audio-visual generation.,,
DF-P2E (2025),VII. Relevance to PIN-Lite,Comparison Points,"Example of ""heavy"" interpretable model vs PIN-Lite's presumed efficiency.",,
DF-P2E (2025),VII. Relevance to PIN-Lite,Key Differences from Our Approach,DF-P2E prioritizes explanation over speed/size; PIN-Lite likely prioritizes efficiency.,,
DF-P2E (2025),VII. Relevance to PIN-Lite,Citation Context,State-of-the-art for XAI in deepfake detection.,,
CAD (2025),I. Publication Details,Paper Title,CAD: A General Multimodal Framework for Video Deepfake Detection via Cross-Modal Alignment and Distillation,,
CAD (2025),I. Publication Details,Authors,"Yuxuan Du, Zhendong Wang, Yuhao Luo, Caiyong Piao, Zhiyuan Yan, Hao Li, Li Yuan",,
CAD (2025),I. Publication Details,Publication Year,2025,,
CAD (2025),I. Publication Details,Publication Venue,arXiv / Under Review,,
CAD (2025),I. Publication Details,Type of Paper,Preprint,,
CAD (2025),II. Research Overview,Core Idea / Contribution,Unifies detection of modality-specific artifacts and semantic misalignments (e.g.,lip-sync) using cross-modal alignment and distillation.,
CAD (2025),II. Research Overview,Problem Addressed,Existing methods focus either on visual artifacts OR semantic (lip-speech) mismatch; neglecting either limits performance on multimodal deepfakes.,,
CAD (2025),II. Research Overview,Key Findings,Modality-specific and shared cues are complementary; Cross-modal distillation improves single-modality performance; Achieves SOTA on IDForge.,,
CAD (2025),III. Technical Deep Dive,Proposed Method Name,CAD (Cross-Modal Alignment and Distillation),,
CAD (2025),III. Technical Deep Dive,Architecture,Dual-path: Visual Encoder (CLIP ViT) + Audio Encoder (Whisper). Features aligned via Cross-Attention.,,
CAD (2025),III. Technical Deep Dive,Video Encoder,CLIP ViT-Base-16 (Frozen + Adapters).,,
CAD (2025),III. Technical Deep Dive,Audio Encoder,Whisper-Small (Frozen + LoRA).,,
CAD (2025),III. Technical Deep Dive,Fusion Mechanism,Cross-Modal Alignment (Cross-Attention) and Cross-Modal Distillation (SimSiam).,,
CAD (2025),III. Technical Deep Dive,Loss Function(s),"KL Divergence (Alignment), SimSiam Loss (Distillation), Cross-Entropy (Detection).",,
CAD (2025),IV. Experimental Evaluation,Training Datasets,"FakeAVCeleb, IDForge-v2",,
CAD (2025),IV. Experimental Evaluation,Testing Datasets,"FakeAVCeleb, IDForge-v2, FaceShifter, Celeb-DF",,
CAD (2025),IV. Experimental Evaluation,Evaluation Metrics,"Acc, AUC, Average Precision (AP)",,
CAD (2025),IV. Experimental Evaluation,Accuracy,99.0% on FakeAVCeleb.,,
CAD (2025),IV. Experimental Evaluation,AUC,"99.96% on IDForge, 99.6% on FakeAVCeleb.",,
CAD (2025),IV. Experimental Evaluation,F1-Score,Not reported.,,
CAD (2025),IV. Experimental Evaluation,Other Results,Strong cross-manipulation generalization (AUC 96.9% on avg).,,
CAD (2025),V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Moderate. Uses Base/Small transformers.,,
CAD (2025),V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),CLIP-ViT-B/16 (~86M) + Whisper-Small (~244M).,,
CAD (2025),V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not reported.,,
CAD (2025),V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not reported.,,
CAD (2025),V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,Uses Frozen backbones with LoRA/Adapters (Parameter Efficient Fine-Tuning).,,
CAD (2025),V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,Not explicitly.,,
CAD (2025),VI. Critical Analysis,Strengths,High accuracy; handles both visual and audio-visual fakes; efficient tuning (LoRA).,,
CAD (2025),VI. Critical Analysis,Drawbacks & Limitations,Reliance on large pre-trained models (CLIP/Whisper) may limit speed.,,
CAD (2025),VI. Critical Analysis,Future Work,Explore larger models; integrate autoregressive LLMs.,,
CAD (2025),VII. Relevance to PIN-Lite,Comparison Points,Demonstrates value of multimodal features; distillation part is relevant for compression.,,
CAD (2025),VII. Relevance to PIN-Lite,Key Differences from Our Approach,CAD relies on heavy audio-visual pre-trained encoders.,,
CAD (2025),VII. Relevance to PIN-Lite,Citation Context,SOTA for Multimodal (Audio-Visual) Deepfake Detection.,,
XDistillation (2021),I. Publication Details,Paper Title,Learning Interpretation with Explainable Knowledge Distillation,,
XDistillation (2021),I. Publication Details,Authors,"Raed Alharbi, Minh N. Vu, My T. Thai",,
XDistillation (2021),I. Publication Details,Publication Year,2021,,
XDistillation (2021),I. Publication Details,Publication Venue,IEEE International Conference on Big Data,,
XDistillation (2021),I. Publication Details,Type of Paper,Conference Paper,,
XDistillation (2021),II. Research Overview,Core Idea / Contribution,"Distilling not just logits but also ""Explanations"" (interpretability) from teacher to student using a Convolutional Autoencoder (CAE).",,
XDistillation (2021),II. Research Overview,Problem Addressed,Standard KD transfers performance but not interpretability; Student explanations often diverge from Teacher's.,,
XDistillation (2021),II. Research Overview,Key Findings,XDistillation produces students that match teacher accuracy AND explanation consistency better than standard KD.,,
XDistillation (2021),III. Technical Deep Dive,Proposed Method Name,XDistillation,,
XDistillation (2021),III. Technical Deep Dive,Architecture,Teacher (VGG16) -> Student (VGG7). Explainable Feature Fusion via CAE.,,
XDistillation (2021),III. Technical Deep Dive,Video Encoder,CNN (VGG variants used).,,
XDistillation (2021),III. Technical Deep Dive,Audio Encoder,N/A,,
XDistillation (2021),III. Technical Deep Dive,Fusion Mechanism,Fusion of Student features with approximated Teacher explanations.,,
XDistillation (2021),III. Technical Deep Dive,Loss Function(s),"Knowledge Distillation Loss (KL), Classification Loss, Feature Reduction Penalty.",,
XDistillation (2021),IV. Experimental Evaluation,Training Datasets,CIFAR-10,MNIST,
XDistillation (2021),IV. Experimental Evaluation,Testing Datasets,CIFAR-10,MNIST,
XDistillation (2021),IV. Experimental Evaluation,Evaluation Metrics,Accuracy,Explanation MSE,Overlap Score.
XDistillation (2021),IV. Experimental Evaluation,Accuracy,90.9% (Student) vs 90.2% (Standard KD) on CIFAR-10.,,
XDistillation (2021),IV. Experimental Evaluation,AUC,N/A,,
XDistillation (2021),IV. Experimental Evaluation,F1-Score,N/A,,
XDistillation (2021),IV. Experimental Evaluation,Other Results,Explanation consistency (GradCAM overlap) improved by ~6%.,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Reduced (Teacher VGG16 to Student VGG7).,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),Teacher: 14.7M -> Student: 3.5M (Significant compression).,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not reported.,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not reported.,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,Knowledge Distillation (KD).,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,Implied (focus on lightweight/low computing resources).,,
XDistillation (2021),VI. Critical Analysis,Strengths,"Transfers ""reasoning"" not just probability; Improves student accuracy over standard KD.",,
XDistillation (2021),VI. Critical Analysis,Drawbacks & Limitations,Requires training auxiliary CAE; Evaluated on simple datasets (CIFAR/MNIST) not Deepfakes.,,
XDistillation (2021),VI. Critical Analysis,Future Work,N/A,,
XDistillation (2021),VII. Relevance to PIN-Lite,Comparison Points,Directly relevant for Model Compression (KD).,,
XDistillation (2021),VII. Relevance to PIN-Lite,Key Differences from Our Approach,Uses generative approach (CAE) to approximate explanations.,,
XDistillation (2021),VII. Relevance to PIN-Lite,Citation Context,Methodology for compressing models while retaining interpretability.,,
e2KD (2024),I. Publication Details,Paper Title,Good Teachers Explain: Explanation-Enhanced Knowledge Distillation,,
e2KD (2024),I. Publication Details,Authors,"Amin Parchami-Araghi, Moritz Böhle, Sukrut Rao, Bernt Schiele",,
e2KD (2024),I. Publication Details,Publication Year,"2024 (arXiv), 2022 (CVPR)",,
e2KD (2024),I. Publication Details,Publication Venue,CVPR (Conference on Computer Vision and Pattern Recognition),,
e2KD (2024),I. Publication Details,Type of Paper,Conference Paper,,
e2KD (2024),II. Research Overview,Core Idea / Contribution,e²KD: Forces student explanations (GradCAM/B-cos) to match Teacher's using a cosine similarity loss.,,
e2KD (2024),II. Research Overview,Problem Addressed,Students in KD often learn different input features than teachers (e.g.,background vs object),leading to poor OOD generalization.
e2KD (2024),II. Research Overview,Key Findings,"e²KD improves accuracy, student-teacher agreement, and robustness to limited data/distribution shifts.",,
